poem_id,language,assignee
MV++_0002,Assamese,teammate_2
MV++_0005,Assamese,teammate_2
MV++_0008,Bengali,teammate_2
MV++_0012,Bengali,teammate_2
MV++_0015,Bengali,teammate_2
MV++_0018,Bengali,teammate_2
MV++_0021,Bengali,teammate_2
MV++_0024,Bengali,teammate_2
MV++_0027,Bengali,teammate_2
MV++_0030,Bengali,teammate_2
MV++_0033,Bengali,teammate_2
MV++_0036,Bodo,teammate_2
MV++_0039,Bodo,teammate_2
MV++_0042,Bodo,teammate_2
MV++_0045,Dogri,teammate_2
MV++_0048,Dogri,teammate_2
MV++_0051,Dogri,teammate_2
MV++_0054,Dogri,teammate_2
MV++_0057,Hindi,teammate_2
MV++_0060,Hindi,teammate_2
MV++_0063,Hindi,teammate_2
MV++_0066,Hindi,teammate_2
MV++_0069,Hindi,teammate_2
MV++_0072,Hindi,teammate_2
MV++_0076,Hindi,teammate_2
MV++_0079,Hindi,teammate_2
MV++_0082,Hindi,teammate_2
MV++_0085,Hindi,teammate_2
MV++_0088,Hindi,teammate_2
MV++_0091,Hindi,teammate_2
MV++_0094,Hindi,teammate_2
MV++_0097,Hindi,teammate_2
MV++_0100,Hindi,teammate_2
MV++_0103,Hindi,teammate_2
MV++_0106,Hindi,teammate_2
MV++_0109,Hindi,teammate_2
MV++_0112,Hindi,teammate_2
MV++_0115,Hindi,teammate_2
MV++_0118,Hindi,teammate_2
MV++_0121,Hindi,teammate_2
MV++_0124,Hindi,teammate_2
MV++_0127,Hindi,teammate_2
MV++_0130,Hindi,teammate_2
MV++_0133,Hindi,teammate_2
MV++_0136,Hindi,teammate_2
MV++_0139,Hindi,teammate_2
MV++_0142,Hindi,teammate_2
MV++_0145,Hindi,teammate_2
MV++_0148,Hindi,teammate_2
MV++_0151,Hindi,teammate_2
MV++_0154,Hindi,teammate_2
MV++_0157,Hindi,teammate_2
MV++_0160,Hindi,teammate_2
MV++_0163,Hindi,teammate_2
MV++_0166,Hindi,teammate_2
MV++_0169,Hindi,teammate_2
MV++_0172,Hindi,teammate_2
MV++_0175,Hindi,teammate_2
MV++_0178,Hindi,teammate_2
MV++_0181,Hindi,teammate_2
MV++_0184,Hindi,teammate_2
MV++_0187,Hindi,teammate_2
MV++_0190,Hindi,teammate_2
MV++_0193,Hindi,teammate_2
MV++_0196,Hindi,teammate_2
MV++_0199,Hindi,teammate_2
MV++_0202,Hindi,teammate_2
MV++_0205,Hindi,teammate_2
MV++_0208,Hindi,teammate_2
MV++_0211,Hindi,teammate_2
MV++_0214,Hindi,teammate_2
MV++_0217,Hindi,teammate_2
MV++_0220,Hindi,teammate_2
MV++_0223,Hindi,teammate_2
MV++_0226,Hindi,teammate_2
MV++_0229,Hindi,teammate_2
MV++_0232,Hindi,teammate_2
MV++_0235,Hindi,teammate_2
MV++_0238,Hindi,teammate_2
MV++_0241,Hindi,teammate_2
MV++_0244,Hindi,teammate_2
MV++_0247,Hindi,teammate_2
MV++_0250,Hindi,teammate_2
